Historia,Estrellas,Promedio,Límite maximo,Límite mínimo,,,,Promedio,97.48647005
1,155,97.48647005,175.3022377,19.67070244,,,,Desviación Estandar,77.81576761
2,68,97.48647005,175.3022377,19.67070244,,,,Límite Maximo,175.3022377
3,53,97.48647005,175.3022377,19.67070244,,,,Límite Mínimo,19.67070244
4,174,97.48647005,175.3022377,19.67070244,,,,,
5,50,97.48647005,175.3022377,19.67070244,,,,,
6,50,97.48647005,175.3022377,19.67070244,,,,,
7,54,97.48647005,175.3022377,19.67070244,,,,,
8,39,97.48647005,175.3022377,19.67070244,,,,,
9,51,97.48647005,175.3022377,19.67070244,,,,,
10,17,97.48647005,175.3022377,19.67070244,,,,,
11,10,97.48647005,175.3022377,19.67070244,,,,,
12,42,97.48647005,175.3022377,19.67070244,,,,,
13,6,97.48647005,175.3022377,19.67070244,,,,,
14,211,97.48647005,175.3022377,19.67070244,,,,,
15,133,97.48647005,175.3022377,19.67070244,,,,,
16,34,97.48647005,175.3022377,19.67070244,,,,,
17,108,97.48647005,175.3022377,19.67070244,,,,,
18,94,97.48647005,175.3022377,19.67070244,,,,,
19,127,97.48647005,175.3022377,19.67070244,,,,,
20,49,97.48647005,175.3022377,19.67070244,,,,,
21,39,97.48647005,175.3022377,19.67070244,,,,,
22,232,97.48647005,175.3022377,19.67070244,,,,,
23,244,97.48647005,175.3022377,19.67070244,,,,,
24,35,97.48647005,175.3022377,19.67070244,,,,,
25,30,97.48647005,175.3022377,19.67070244,,,,,
26,26,97.48647005,175.3022377,19.67070244,,,,,
27,95,97.48647005,175.3022377,19.67070244,,,,,
28,28,97.48647005,175.3022377,19.67070244,,,,,
29,22,97.48647005,175.3022377,19.67070244,,,,,
30,24,97.48647005,175.3022377,19.67070244,,,,,
31,16,97.48647005,175.3022377,19.67070244,,,,,
32,192,97.48647005,175.3022377,19.67070244,,,,,
33,46,97.48647005,175.3022377,19.67070244,,,,,
34,20,97.48647005,175.3022377,19.67070244,,,,,
35,258,97.48647005,175.3022377,19.67070244,,,,,
36,96,97.48647005,175.3022377,19.67070244,,,,,
37,41,97.48647005,175.3022377,19.67070244,,,,,
38,100,97.48647005,175.3022377,19.67070244,,,,,
39,34,97.48647005,175.3022377,19.67070244,,,,,
40,130,97.48647005,175.3022377,19.67070244,,,,,
41,61,97.48647005,175.3022377,19.67070244,,,,,
42,43,97.48647005,175.3022377,19.67070244,,,,,
43,196,97.48647005,175.3022377,19.67070244,,,,,
44,48,97.48647005,175.3022377,19.67070244,,,,,
45,206,97.48647005,175.3022377,19.67070244,,,,,
46,102,97.48647005,175.3022377,19.67070244,,,,,
